device_id,street_marker,sign_plate_id,target_occupied,hour,dow,is_weekend,duration_min
23913,1581S,nan,1,4.0,6.0,1,0.6
23913,1581S,3.0,1,16.0,6.0,1,0.43333333333333335
23913,1581S,3.0,1,18.0,6.0,1,0.23333333333333334
23913,1581S,99.0,0,9.0,1.0,0,79.2
23913,1581S,99.0,1,10.0,1.0,0,13.833333333333334
23913,1581S,99.0,0,15.0,3.0,0,42.233333333333334
23913,1581S,nan,1,0.0,4.0,0,0.8666666666666667
23913,1581S,nan,0,4.0,4.0,0,11.15
23913,1581S,99.0,1,10.0,4.0,0,1.1166666666666667
23913,1581S,nan,0,17.0,4.0,0,43.0
23913,1581S,12.0,0,20.0,4.0,0,6.0
23913,1581S,nan,1,20.0,4.0,0,1.2666666666666666
23913,1581S,nan,0,20.0,4.0,0,2.566666666666667
23913,1581S,99.0,0,10.0,0.0,0,0.23333333333333334
23913,1581S,nan,0,21.0,0.0,0,46.88333333333333
23913,1581S,nan,0,2.0,1.0,0,0.16666666666666666
23913,1581S,99.0,1,10.0,1.0,0,2.533333333333333
23913,1581S,99.0,1,13.0,2.0,0,0.55
23913,1581S,99.0,0,13.0,2.0,0,20.016666666666666
23913,1581S,99.0,1,15.0,2.0,0,12.116666666666667
23913,1581S,12.0,1,19.0,2.0,0,1.8166666666666667
23913,1581S,nan,0,1.0,3.0,0,0.1
23913,1581S,nan,1,3.0,3.0,0,0.25
23913,1581S,99.0,0,14.0,3.0,0,43.9
23913,1581S,nan,1,16.0,3.0,0,0.8333333333333334
23913,1581S,nan,0,1.0,4.0,0,105.61666666666666
23913,1581S,nan,0,4.0,4.0,0,176.31666666666666
23913,1581S,nan,1,4.0,5.0,1,0.4666666666666667
23913,1581S,nan,1,5.0,5.0,1,0.65
23913,1581S,14.0,0,8.0,5.0,1,25.666666666666668
23913,1581S,14.0,0,9.0,5.0,1,32.68333333333333
23913,1581S,nan,0,2.0,6.0,1,2.4833333333333334
23913,1581S,nan,0,16.0,2.0,0,54.166666666666664
23913,1581S,nan,0,22.0,2.0,0,7.683333333333334
23913,1581S,99.0,1,15.0,4.0,0,6.283333333333333
23913,1581S,3.0,1,17.0,6.0,1,0.5
23913,1581S,nan,0,18.0,6.0,1,29.716666666666665
23913,1581S,99.0,1,15.0,0.0,0,2.1
23913,1581S,99.0,0,15.0,1.0,0,14.233333333333333
23913,1581S,nan,0,18.0,1.0,0,0.21666666666666667
23913,1581S,nan,1,0.0,2.0,0,0.45
23913,1581S,nan,1,4.0,3.0,0,6.966666666666667
23913,1581S,nan,1,4.0,3.0,0,21.283333333333335
23913,1581S,nan,0,5.0,3.0,0,18.716666666666665
23913,1581S,nan,0,8.0,3.0,0,36.733333333333334
23913,1581S,nan,0,4.0,4.0,0,136.73333333333332
23913,1581S,nan,1,7.0,4.0,0,29.1
23913,1581S,nan,1,2.0,5.0,1,25.766666666666666
23913,1581S,14.0,0,11.0,5.0,1,2.5833333333333335
23913,1581S,14.0,1,16.0,5.0,1,1.6666666666666667
23913,1581S,nan,0,3.0,6.0,1,26.716666666666665
23913,1581S,3.0,0,10.0,6.0,1,2.9833333333333334
23913,1581S,3.0,1,12.0,6.0,1,4.116666666666666
23913,1581S,nan,0,23.0,6.0,1,34.43333333333333
23913,1581S,nan,1,3.0,1.0,0,0.4
23913,1581S,nan,0,16.0,1.0,0,14.983333333333333
23913,1581S,99.0,0,11.0,2.0,0,53.833333333333336
23913,1581S,99.0,0,12.0,2.0,0,108.11666666666666
23913,1581S,nan,1,17.0,2.0,0,5.416666666666667
23913,1581S,nan,1,18.0,3.0,0,3.95
23913,1581S,nan,1,21.0,3.0,0,7.533333333333333
23913,1581S,nan,0,0.0,4.0,0,271.93333333333334
23913,1581S,nan,0,8.0,4.0,0,41.46666666666667
23913,1581S,nan,1,18.0,4.0,0,1.0
23913,1581S,14.0,1,17.0,5.0,1,0.31666666666666665
23913,1581S,14.0,0,17.0,5.0,1,7.15
23913,1581S,nan,0,18.0,6.0,1,15.05
23913,1581S,99.0,1,13.0,1.0,0,1.15
23913,1581S,99.0,0,13.0,1.0,0,16.466666666666665
23913,1581S,99.0,0,9.0,2.0,0,86.8
23913,1581S,nan,1,22.0,2.0,0,14.866666666666667
23913,1581S,nan,1,3.0,3.0,0,1.1166666666666667
23913,1581S,nan,0,6.0,3.0,0,35.4
23913,1581S,nan,0,21.0,3.0,0,10.416666666666666
23913,1581S,nan,1,21.0,4.0,0,0.8666666666666667
23913,1581S,nan,0,23.0,4.0,0,0.4666666666666667
23913,1581S,nan,1,0.0,5.0,1,0.48333333333333334
23913,1581S,nan,1,21.0,5.0,1,0.6333333333333333
23913,1581S,3.0,1,8.0,6.0,1,7.283333333333333
23913,1581S,3.0,1,11.0,6.0,1,5.133333333333334
23913,1581S,99.0,1,13.0,0.0,0,0.6833333333333333
23913,1581S,12.0,1,19.0,1.0,0,6.966666666666667
23913,1581S,nan,1,16.0,2.0,0,0.38333333333333336
23913,1581S,12.0,0,19.0,2.0,0,6.733333333333333
23913,1581S,nan,0,7.0,4.0,0,9.75
23913,1581S,nan,0,0.0,5.0,1,23.933333333333334
23913,1581S,14.0,1,15.0,5.0,1,0.85
23913,1581S,nan,0,21.0,5.0,1,0.2833333333333333
23913,1581S,nan,0,3.0,6.0,1,25.716666666666665
23913,1581S,3.0,0,10.0,6.0,1,59.583333333333336
23913,1581S,nan,0,18.0,0.0,0,12.3
23913,1581S,nan,1,16.0,1.0,0,0.55
23913,1581S,nan,0,0.0,2.0,0,6.6
23913,1581S,nan,0,17.0,2.0,0,9.1
23913,1581S,99.0,0,10.0,3.0,0,6.583333333333333
23913,1581S,14.0,0,13.0,5.0,1,38.55
23913,1581S,nan,0,20.0,6.0,1,55.2
23913,1581S,nan,1,16.0,1.0,0,0.8
23913,1581S,nan,1,0.0,2.0,0,0.8666666666666667
23913,1581S,nan,0,4.0,2.0,0,137.25
23913,1581S,nan,0,6.0,2.0,0,0.1
23913,1581S,nan,0,21.0,2.0,0,0.13333333333333333
23913,1581S,nan,0,23.0,2.0,0,26.35
23913,1581S,99.0,1,14.0,3.0,0,0.6666666666666666
23913,1581S,12.0,0,20.0,3.0,0,3.85
23913,1581S,nan,0,0.0,4.0,0,32.916666666666664
23913,1581S,99.0,1,14.0,4.0,0,0.8166666666666667
23913,1581S,12.0,0,19.0,4.0,0,73.21666666666667
23913,1581S,nan,1,23.0,4.0,0,0.4166666666666667
23913,1581S,14.0,0,19.0,5.0,1,17.116666666666667
23913,1581S,nan,0,16.0,0.0,0,2.2333333333333334
23913,1581S,nan,0,4.0,1.0,0,4.266666666666667
23913,1581S,nan,0,22.0,1.0,0,6.433333333333334
23913,1581S,12.0,0,18.0,2.0,0,7.75
23913,1581S,14.0,1,12.0,5.0,1,5.85
23913,1581S,14.0,1,15.0,5.0,1,37.7
23913,1581S,3.0,1,14.0,6.0,1,2.683333333333333
23913,1581S,nan,1,20.0,6.0,1,115.95
23913,1581S,nan,0,22.0,0.0,0,3.283333333333333
23913,1581S,nan,1,3.0,1.0,0,26.133333333333333
23913,1581S,99.0,0,10.0,1.0,0,17.016666666666666
23913,1581S,12.0,0,19.0,2.0,0,8.616666666666667
23913,1581S,nan,1,21.0,2.0,0,0.9
23913,1581S,nan,1,22.0,2.0,0,0.26666666666666666
23913,1581S,nan,1,18.0,3.0,0,1.0333333333333334
23913,1581S,12.0,1,18.0,4.0,0,6.7
23913,1581S,12.0,0,19.0,4.0,0,11.95
23913,1581S,14.0,1,19.0,5.0,1,80.48333333333333
23913,1581S,3.0,0,17.0,6.0,1,8.716666666666667
23913,1581S,99.0,0,13.0,1.0,0,1.6166666666666667
23913,1581S,nan,1,3.0,2.0,0,1.1166666666666667
23913,1581S,nan,1,23.0,2.0,0,21.75
