feature,importance
Hour,0.05851728962622647
DayOfWeek,0.026607200368838756
IsWeekend,0.005512704072621987
Month,0.04839451217249314
DayOfMonth,0.04531333579234779
DwellMinutes,0.04640875050571696
InViolation,0.07403291213634244
_duration_min,0.07419736504534932
_hour,0.04198428100787411
_dow,0.021716839356280222
_is_weekend,0.00585162004768407
_duration_min_w,0.06219624806953088
_duration_robust_z,0.06208471558902606
rolling_occ_N10,0.2463012321507348
arrivals_N10,0.001871661233104941
PartOfDay_idx,0.015990352786212806
AreaName_idx,0.032637928095729137
SideName_idx,0.02002654160934132
SideOfStreetCode_idx,0.019361913849663008
street_marker_lumped_idx,0.0444438263892383
device_id_lumped_idx,0.046548770095643524
