brand,n,median_price_inr,avg_price_inr
realme,124,17194.0,20420.766129032258
samsung,102,21999.0,38022.72549019608
redmi,102,13680.0,16798.803921568626
vivo,91,19999.0,23924.835164835164
oppo,72,15999.0,20354.569444444445
motorola,64,16999.0,17660.5625
poco,62,12999.0,15739.322580645161
infinix,51,8999.0,12655.862745098038
itel,47,1449.0,3632.425531914894
apple,39,59999.0,64883.61538461538
oneplus,38,30469.0,36223.47368421053
lava,31,1199.0,3494.6774193548385
nokia,30,2632.0,3033.6666666666665
tecno,23,12999.0,13488.260869565218
iqoo,20,15910.0,18161.4
kechaoda,19,999.0,1077.7894736842106
google,15,37999.0,47732.333333333336
nothing,10,25999.0,27799.0
karbonn,9,930.0,1042.0
xiaomi,8,47999.0,52374.0
cmf,6,15999.0,16999.0
micromax,4,918.0,3504.75
blackzone,3,1569.0,1569.0
i,3,1841.0,1630.0
vox,2,809.0,809.0
jio,2,1199.0,2344.5
honor,2,22995.0,24472.5
